,Role02,EMO01_Role01,EMO01_Role02,Role01,y
HPRD50.d16.s4_91,7.13142,-0.30015,4.65698,-0.26608,1
HPRD50.d16.s5_100,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d16.s5_101,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d16.s5_92,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d16.s5_93,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d16.s5_94,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d16.s5_95,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s5_96,-0.14022,3.33167,-0.21473,-0.26608,0
HPRD50.d16.s5_97,-0.14022,-0.30015,-0.21473,3.75832,0
HPRD50.d16.s5_98,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d16.s5_99,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s6_102,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s6_103,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s6_104,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d16.s6_105,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s6_106,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d16.s6_107,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d18.s0_108,-0.14022,3.33167,-0.21473,-0.26608,0
HPRD50.d18.s0_109,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d18.s0_110,-0.14022,3.33167,-0.21473,-0.26608,1
HPRD50.d18.s1_111,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d18.s1_112,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d18.s1_113,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d18.s2_114,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d18.s3_115,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d18.s4_116,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d18.s4_117,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d18.s4_118,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d19.s0_119,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d19.s0_120,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d19.s0_121,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d19.s0_122,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d19.s0_123,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d19.s0_124,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d19.s1_125,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d19.s1_126,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d19.s1_127,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d19.s2_128,-0.14022,3.33167,-0.21473,3.75832,1
HPRD50.d19.s2_129,-0.14022,3.33167,4.65698,3.75832,0
HPRD50.d19.s2_130,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d19.s2_131,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d19.s2_132,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d19.s2_133,-0.14022,-0.30015,4.65698,-0.26608,1
HPRD50.d2.s0_10,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d2.s0_11,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d2.s0_9,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d2.s1_12,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d2.s2_13,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d2.s3_14,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d2.s3_15,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d2.s3_16,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d20.s0_134,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d20.s0_135,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d20.s0_136,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d20.s1_137,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d20.s2_138,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d20.s2_139,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d20.s2_140,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d20.s3_141,-0.14022,3.33167,-0.21473,3.75832,0
HPRD50.d20.s3_142,-0.14022,3.33167,4.65698,3.75832,1
HPRD50.d20.s3_143,-0.14022,3.33167,-0.21473,-0.26608,1
HPRD50.d21.s0_144,-0.14022,-0.30015,4.65698,-0.26608,1
HPRD50.d21.s0_145,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d21.s0_146,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d21.s1_147,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d21.s1_148,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d21.s1_149,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d21.s2_150,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d22.s0_151,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d22.s0_152,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s0_153,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s0_154,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s0_155,-0.14022,-0.30015,4.65698,-0.26608,1
HPRD50.d22.s0_156,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d22.s1_157,-0.14022,3.33167,-0.21473,-0.26608,1
HPRD50.d22.s1_158,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s1_159,-0.14022,3.33167,-0.21473,-0.26608,1
HPRD50.d22.s1_160,-0.14022,3.33167,-0.21473,-0.26608,0
HPRD50.d22.s1_161,-0.14022,3.33167,-0.21473,-0.26608,0
HPRD50.d22.s1_162,-0.14022,3.33167,-0.21473,-0.26608,0
HPRD50.d22.s1_163,-0.14022,3.33167,-0.21473,-0.26608,1
HPRD50.d22.s1_164,-0.14022,3.33167,-0.21473,-0.26608,0
HPRD50.d22.s1_165,-0.14022,3.33167,-0.21473,-0.26608,1
HPRD50.d22.s1_166,-0.14022,3.33167,-0.21473,-0.26608,1
HPRD50.d22.s2_167,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s3_168,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s3_169,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s3_170,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d22.s3_171,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d22.s3_172,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s3_173,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s4_174,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d22.s5_175,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d22.s5_176,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d22.s5_177,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d22.s6_178,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d22.s6_179,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s6_180,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s7_181,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s7_182,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d22.s7_183,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s0_184,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d23.s1_185,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_186,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_187,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_188,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_189,-0.14022,3.33167,-0.21473,-0.26608,1
HPRD50.d23.s1_190,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_191,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_192,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d23.s1_193,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_194,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d23.s1_195,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_196,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_197,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_198,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s1_199,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s2_200,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s2_201,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s2_202,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s2_203,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s2_204,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s2_205,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d23.s3_206,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d24.s0_207,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d24.s1_208,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d24.s1_209,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d24.s1_210,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d24.s1_211,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d24.s1_212,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d24.s1_213,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d25.s0_214,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d25.s0_215,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d25.s0_216,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d25.s1_217,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d25.s1_218,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d25.s1_219,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d25.s2_220,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d25.s2_221,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d25.s2_222,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s0_223,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s1_224,7.13142,3.33167,4.65698,3.75832,1
HPRD50.d26.s1_225,-0.14022,-0.30015,4.65698,-0.26608,0
HPRD50.d26.s1_226,7.13142,3.33167,4.65698,3.75832,1
HPRD50.d26.s2_227,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s2_228,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s2_229,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s2_230,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s2_231,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s2_232,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s3_233,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s3_234,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s3_235,-0.14022,-0.30015,-0.21473,3.75832,0
HPRD50.d26.s4_236,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s5_237,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s5_238,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s5_239,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s6_240,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s6_241,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s6_242,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s6_243,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s6_244,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s6_245,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s7_246,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s7_247,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s7_248,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s7_249,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s7_250,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d26.s7_251,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s7_252,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s7_253,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s7_254,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d26.s7_255,-0.14022,3.33167,-0.21473,-0.26608,1
HPRD50.d27.s0_256,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d27.s0_257,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d27.s0_258,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d27.s0_259,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d27.s0_260,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d27.s0_261,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d27.s1_262,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d29.s0_263,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d29.s1_264,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d29.s1_265,-0.14022,-0.30015,-0.21473,3.75832,0
HPRD50.d29.s1_266,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d29.s1_267,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d29.s1_268,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d29.s1_269,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d29.s1_270,-0.14022,3.33167,-0.21473,-0.26608,0
HPRD50.d29.s1_271,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d29.s1_272,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d29.s1_273,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d29.s2_274,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d29.s2_275,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d29.s2_276,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d29.s3_277,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d29.s3_278,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d29.s3_279,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d3.s0_17,-0.14022,-0.30015,-0.21473,3.75832,1
HPRD50.d3.s1_18,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d3.s2_19,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d3.s2_20,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d3.s2_21,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d30.s0_280,-0.14022,-0.30015,-0.21473,3.75832,1
HPRD50.d30.s0_281,-0.14022,-0.30015,-0.21473,3.75832,0
HPRD50.d30.s0_282,-0.14022,3.33167,-0.21473,3.75832,1
HPRD50.d31.s0_283,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d31.s1_284,-0.14022,-0.30015,-0.21473,3.75832,1
HPRD50.d32.s0_285,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s0_286,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s0_287,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s0_288,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s0_289,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s0_290,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s1_291,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s1_292,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d32.s1_293,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d32.s1_294,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d32.s1_295,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d32.s1_296,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s2_297,-0.14022,3.33167,-0.21473,-0.26608,0
HPRD50.d32.s3_298,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s3_299,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s3_300,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s3_301,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s3_302,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s3_303,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s4_304,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s5_305,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_306,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_307,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_308,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d32.s6_309,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_310,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_311,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_312,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_313,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_314,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_315,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_316,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_317,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d32.s6_318,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_319,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_320,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_321,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_322,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_323,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d32.s6_324,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_325,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d32.s6_326,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d33.s0_327,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d33.s0_328,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d33.s0_329,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d33.s1_330,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d33.s1_331,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d33.s1_332,-0.14022,-0.30015,-0.21473,3.75832,0
HPRD50.d34.s0_333,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d34.s1_334,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d34.s1_335,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d34.s1_336,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d35.s0_337,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d35.s1_338,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_339,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_340,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_341,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_342,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_343,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d38.s0_344,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_345,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_346,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_347,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d38.s0_348,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_349,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_350,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d38.s0_351,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s0_352,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d38.s0_353,-0.14022,3.33167,-0.21473,-0.26608,1
HPRD50.d38.s1_354,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s1_355,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d38.s1_356,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d39.s0_357,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d39.s0_358,-0.14022,-0.30015,4.65698,-0.26608,0
HPRD50.d39.s0_359,-0.14022,-0.30015,4.65698,-0.26608,1
HPRD50.d39.s1_360,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d4.s0_22,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d4.s1_23,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d4.s1_24,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d4.s1_25,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d4.s1_26,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d4.s1_27,-0.14022,-0.30015,-0.21473,-0.26608,0
HPRD50.d4.s1_28,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d40.s0_361,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d40.s1_362,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d5.s0_29,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d5.s1_30,-0.14022,3.33167,-0.21473,3.75832,1
HPRD50.d5.s2_31,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d5.s3_32,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d5.s4_33,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d5.s5_34,-0.14022,-0.30015,-0.21473,-0.26608,1
HPRD50.d7.s0_35,-0.14022,-0.30015,-0.21473,-0.26608,1
