sentID,trueLabel,llama3.2:1b|EMO01__pred,llama3.2:1b|EMO01 + Few_shot01__pred,llama3.2:1b|EMO01 + Few_shot02__pred,llama3.2:1b|EMO01 + Role01__pred,llama3.2:1b|EMO01 + Role02__pred,llama3.2:1b|EMO02__pred,llama3.2:1b|EMO02 + Few_shot01__pred,llama3.2:1b|EMO02 + Few_shot02__pred,llama3.2:1b|EMO02 + Role01__pred,llama3.2:1b|EMO02 + Role02__pred,llama3.2:1b|Few_shot01__pred,llama3.2:1b|Few_shot02__pred,llama3.2:1b|Role01__pred,llama3.2:1b|Role01 + Few_shot01__pred,llama3.2:1b|Role01 + Few_shot02__pred,llama3.2:1b|Role02__pred,llama3.2:1b|Role02 + Few_shot01__pred,llama3.2:1b|Role02 + Few_shot02__pred
HPRD50.d13.s0_57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d13.s1_58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d13.s1_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d13.s1_60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d13.s1_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d13.s1_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d13.s1_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d13.s2_64,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d14.s0_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d14.s1_66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s0_67,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d16.s0_68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d16.s0_69,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d16.s1_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s1_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s2_85,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d16.s3_86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s3_87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s3_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s4_89,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
HPRD50.d16.s4_90,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
HPRD50.d16.s4_91,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
HPRD50.d16.s5_100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s5_101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s5_92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s5_93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s5_94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s5_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s5_96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s5_97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d16.s5_98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s5_99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s6_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s6_103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s6_104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s6_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s6_106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d16.s6_107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d18.s0_108,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d18.s0_109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d18.s0_110,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HPRD50.d18.s1_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d18.s1_112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d18.s1_113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d18.s2_114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d18.s3_115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d18.s4_116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d18.s4_117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d18.s4_118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s0_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s0_120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s0_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s0_122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s0_123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s0_124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s1_125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s1_126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s1_127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s2_128,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d19.s2_129,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d19.s2_130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s2_131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s2_132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d19.s2_133,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d2.s0_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d2.s0_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d2.s0_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d2.s1_12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d2.s2_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d2.s3_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d2.s3_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d2.s3_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d20.s0_134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d20.s0_135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d20.s0_136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d20.s1_137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d20.s2_138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d20.s2_139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d20.s2_140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d20.s3_141,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d20.s3_142,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
HPRD50.d20.s3_143,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d21.s0_144,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d21.s0_145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d21.s0_146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d21.s1_147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d21.s1_148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d21.s1_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d21.s2_150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s0_151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s0_152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s0_153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s0_154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s0_155,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s0_156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s1_157,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s1_158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s1_159,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s1_160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s1_161,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HPRD50.d22.s1_162,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HPRD50.d22.s1_163,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s1_164,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s1_165,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s1_166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s2_167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s3_168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s3_169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s3_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s3_171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s3_172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s3_173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s4_174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s5_175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s5_176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s5_177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s6_178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s6_179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s6_180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s7_181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s7_182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d22.s7_183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s0_184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_186,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_187,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_188,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_189,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_190,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_192,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_194,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s1_199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s2_200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s2_201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s2_202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s2_203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s2_204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s2_205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d23.s3_206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d24.s0_207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d24.s1_208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d24.s1_209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d24.s1_210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d24.s1_211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d24.s1_212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d24.s1_213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d25.s0_214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d25.s0_215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d25.s0_216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d25.s1_217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d25.s1_218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d25.s1_219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d25.s2_220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d25.s2_221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d25.s2_222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s0_223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s1_224,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
HPRD50.d26.s1_225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s1_226,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
HPRD50.d26.s2_227,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s2_228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s2_229,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s2_230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s2_231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s2_232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s3_233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s3_234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s3_235,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d26.s4_236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s5_237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s5_238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s5_239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s6_240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s6_241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s6_242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s6_243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s6_244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s6_245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s7_246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s7_247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s7_248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s7_249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s7_250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s7_251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s7_252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s7_253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s7_254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d26.s7_255,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HPRD50.d27.s0_256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d27.s0_257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d27.s0_258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d27.s0_259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d27.s0_260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d27.s0_261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d27.s1_262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s0_263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s1_264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s1_265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d29.s1_266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s1_267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s1_268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s1_269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s1_270,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s1_271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s1_272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s1_273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s2_274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s2_275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s2_276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s3_277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s3_278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d29.s3_279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d3.s0_17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HPRD50.d3.s1_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d3.s2_19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d3.s2_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d3.s2_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
