sentID,originalAns,trueLabel,passage,Qwen3:8b|EMO01__pred,Qwen3:8b|EMO01 + Few_shot01__pred,Qwen3:8b|EMO01 + Few_shot02__pred,Qwen3:8b|EMO01 + Role01__pred,Qwen3:8b|EMO01 + Role01 + Few_shot01__pred,Qwen3:8b|EMO01 + Role01 + Few_shot02__pred,Qwen3:8b|EMO01 + Role02__pred,Qwen3:8b|EMO01 + Role02 + Few_shot01__pred,Qwen3:8b|EMO01 + Role02 + Few_shot02__pred,Qwen3:8b|EMO02__pred,Qwen3:8b|EMO02 + Few_shot01__pred,Qwen3:8b|EMO02 + Few_shot02__pred,Qwen3:8b|EMO02 + Role01__pred,Qwen3:8b|EMO02 + Role01 + Few_shot01__pred,Qwen3:8b|EMO02 + Role01 + Few_shot02__pred,Qwen3:8b|EMO02 + Role02__pred,Qwen3:8b|EMO02 + Role02 + Few_shot01__pred,Qwen3:8b|EMO02 + Role02 + Few_shot02__pred,Qwen3:8b|Few_shot01__pred,Qwen3:8b|Few_shot02__pred,Qwen3:8b|Role01__pred,Qwen3:8b|Role01 + Few_shot01__pred,Qwen3:8b|Role01 + Few_shot02__pred,Qwen3:8b|Role02__pred,Qwen3:8b|Role02 + Few_shot01__pred,Qwen3:8b|Role02 + Few_shot02__pred,llama3.1:8b|EMO01__pred,llama3.1:8b|EMO01 + Few_shot01__pred,llama3.1:8b|EMO01 + Few_shot02__pred,llama3.1:8b|EMO01 + Role01__pred,llama3.1:8b|EMO01 + Role01 + Few_shot01__pred,llama3.1:8b|EMO01 + Role01 + Few_shot02__pred,llama3.1:8b|EMO01 + Role02__pred,llama3.1:8b|EMO01 + Role02 + Few_shot01__pred,llama3.1:8b|EMO01 + Role02 + Few_shot02__pred,llama3.1:8b|EMO02__pred,llama3.1:8b|EMO02 + Few_shot01__pred,llama3.1:8b|EMO02 + Few_shot02__pred,llama3.1:8b|EMO02 + Role01__pred,llama3.1:8b|EMO02 + Role01 + Few_shot01__pred,llama3.1:8b|EMO02 + Role01 + Few_shot02__pred,llama3.1:8b|EMO02 + Role02__pred,llama3.1:8b|EMO02 + Role02 + Few_shot01__pred,llama3.1:8b|EMO02 + Role02 + Few_shot02__pred,llama3.1:8b|Few_shot01__pred,llama3.1:8b|Few_shot02__pred,llama3.1:8b|Role01__pred,llama3.1:8b|Role01 + Few_shot01__pred,llama3.1:8b|Role01 + Few_shot02__pred,llama3.1:8b|Role02__pred,llama3.1:8b|Role02 + Few_shot01__pred,llama3.1:8b|Role02 + Few_shot02__pred
HPRD50.d10.s4_19,no,0,These results identify PROTEIN as a T cell counterreceptor for PROTEIN1 and suggest that in addition to its anti-adhesive role PROTEIN2 may promote cell-cell interactions,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d10.s4_20,no,0,These results identify PROTEIN1 as a T cell counterreceptor for PROTEIN and suggest that in addition to its anti-adhesive role PROTEIN2 may promote cell-cell interactions,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d10.s4_21,yes,1,These results identify PROTEIN1 as a T cell counterreceptor for PROTEIN2 and suggest that in addition to its anti-adhesive role PROTEIN may promote cell-cell interactions,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d15.s0_22,yes,1,Physical association of PROTEIN1 with PROTEIN2 a novel glycosylphosphatidylinositol-anchored protein with potential for regulating adhesion and migration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d15.s1_23,yes,1,"To clarify the mechanisms by which PROTEIN1 functions on leukocytes, we explored the possibility of its physical association with PROTEIN2 which is important for leukocyte adherence, locomotion, and extravasation",0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d15.s2_24,yes,1," PROTEIN1 detected by anti-CD18 mAb, was coprecipitated with PROTEIN2 from human neutrophil lysates by a mAb to PROTEIN ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d15.s2_25,no,0," PROTEIN1 detected by anti-CD18 mAb, was coprecipitated with PROTEIN from human neutrophil lysates by a mAb to PROTEIN2 ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d15.s2_26,no,0," PROTEIN detected by anti-CD18 mAb, was coprecipitated with PROTEIN1 from human neutrophil lysates by a mAb to PROTEIN2 ",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d15.s3_27,yes,1,"In addition, PROTEIN1 was immunoprecipitated from human neutrophil lysates by anti-human PROTEIN2 mAb",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d15.s4_28,yes,1,These results clearly show that PROTEIN1 is physically associated with PROTEIN2 in human neutrophils,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d17.s0_29,no,0, PROTEIN1 (type II isozyme) contains a PROTEIN2 homology domain at the N terminus and a sterile alpha motif domain at the C terminus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
HPRD50.d28.s0_30,yes,1,We report that PROTEIN1 (MutS homolog 2) protein interacts with the ATR (ATM- and Rad3-related) kinase to form a signaling module and regulate the phosphorylation of PROTEIN2 and PROTEIN (structure maintenance of chromosome 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d28.s0_31,yes,1,We report that PROTEIN1 (MutS homolog 2) protein interacts with the ATR (ATM- and Rad3-related) kinase to form a signaling module and regulate the phosphorylation of PROTEIN and PROTEIN2 (structure maintenance of chromosome 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
HPRD50.d28.s0_32,no,0,We report that PROTEIN (MutS homolog 2) protein interacts with the ATR (ATM- and Rad3-related) kinase to form a signaling module and regulate the phosphorylation of PROTEIN1 and PROTEIN2 (structure maintenance of chromosome 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1
HPRD50.d28.s1_33,yes,1,We found that phosphorylation of PROTEIN1 by ATR also requires checkpoint proteins PROTEIN2 and replication protein A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
HPRD50.d28.s2_34,no,0,"In contrast, phosphorylation of PROTEIN by ATR is independent of PROTEIN1 and replication protein A, suggesting that the signaling pathway leading to PROTEIN2 phosphorylation is distinct from that mediated by the checkpoint proteins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d28.s2_35,no,0,"In contrast, phosphorylation of PROTEIN1 by ATR is independent of PROTEIN and replication protein A, suggesting that the signaling pathway leading to PROTEIN2 phosphorylation is distinct from that mediated by the checkpoint proteins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d28.s2_36,no,0,"In contrast, phosphorylation of PROTEIN1 by ATR is independent of PROTEIN2 and replication protein A, suggesting that the signaling pathway leading to PROTEIN phosphorylation is distinct from that mediated by the checkpoint proteins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d28.s3_37,no,0,"In addition, both PROTEIN and PROTEIN1 are required for the activation of the S-phase checkpoint to suppress DNA synthesis in response to MNNG, and phosphorylation of PROTEIN2 is required for cellular survival",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1
HPRD50.d28.s3_38,no,0,"In addition, both PROTEIN1 and PROTEIN2 are required for the activation of the S-phase checkpoint to suppress DNA synthesis in response to MNNG, and phosphorylation of PROTEIN is required for cellular survival",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
HPRD50.d28.s3_39,no,0,"In addition, both PROTEIN1 and PROTEIN are required for the activation of the S-phase checkpoint to suppress DNA synthesis in response to MNNG, and phosphorylation of PROTEIN2 is required for cellular survival",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d36.s0_40,yes,1," PROTEIN1 associates with PROTEIN2 Syk, and phospholipase C-gamma(1) upon B cell activation",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
HPRD50.d36.s1_41,yes,1,These results suggest that tyrosyl-phosphorylated PROTEIN may be a substrate for PROTEIN1 regulates tyrosyl phosphorylation of PROTEIN2 ,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
HPRD50.d36.s1_42,no,0,These results suggest that tyrosyl-phosphorylated PROTEIN1 may be a substrate for PROTEIN regulates tyrosyl phosphorylation of PROTEIN2 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d36.s1_43,yes,1,These results suggest that tyrosyl-phosphorylated PROTEIN1 may be a substrate for PROTEIN2 regulates tyrosyl phosphorylation of PROTEIN ,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d36.s2_44,no,0,The association of PROTEIN1 with PROTEIN was mediated by the NH2-terminal Src homology 2 (SH2) domain of PROTEIN2 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d36.s2_45,yes,1,The association of PROTEIN1 with PROTEIN2 was mediated by the NH2-terminal Src homology 2 (SH2) domain of PROTEIN ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d36.s2_46,yes,1,The association of PROTEIN with PROTEIN1 was mediated by the NH2-terminal Src homology 2 (SH2) domain of PROTEIN2 ,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d36.s3_47,yes,1,"Complexes of either PROTEIN1 PROTEIN2 Syk/PLC-gamma(1) could be isolated from B cells stimulated by BCR engagement or a mixture of hydrogen peroxidase and sodium orthovanadate, respectively",1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HPRD50.d36.s4_48,no,0,Transient expression of PROTEIN1 and a null mutant of PROTEIN (PTP-1CM) in COS cells resulted in an increase in tyrosyl phosphorylation of PROTEIN2 and its interaction with PTP-1CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d36.s4_49,yes,1,Transient expression of PROTEIN and a null mutant of PROTEIN1 (PTP-1CM) in COS cells resulted in an increase in tyrosyl phosphorylation of PROTEIN2 and its interaction with PTP-1CM,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d36.s4_50,no,0,Transient expression of PROTEIN1 and a null mutant of PROTEIN2 (PTP-1CM) in COS cells resulted in an increase in tyrosyl phosphorylation of PROTEIN and its interaction with PTP-1CM,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d36.s5_51,no,0,"By contrast, PROTEIN1 was not tyrosyl phosphorylated or associated with PTP-1CM in the presence of wild-type PROTEIN2 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d37.s0_52,yes,1, PROTEIN1 dimers formed through self-association of the TATA-binding polypeptide ( PROTEIN subunit and could be immunoprecipitated with antibodies to PROTEIN2 the core subunit of PROTEIN ,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d37.s0_53,no,0, PROTEIN1 dimers formed through self-association of the TATA-binding polypeptide ( PROTEIN2 subunit and could be immunoprecipitated with antibodies to PROTEIN the core subunit of PROTEIN ,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d37.s0_54,no,0, PROTEIN1 dimers formed through self-association of the TATA-binding polypeptide ( PROTEIN subunit and could be immunoprecipitated with antibodies to PROTEIN the core subunit of PROTEIN2 ,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d37.s0_55,no,0, PROTEIN dimers formed through self-association of the TATA-binding polypeptide ( PROTEIN1 subunit and could be immunoprecipitated with antibodies to PROTEIN2 the core subunit of PROTEIN ,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d37.s0_56,yes,1, PROTEIN dimers formed through self-association of the TATA-binding polypeptide ( PROTEIN subunit and could be immunoprecipitated with antibodies to PROTEIN1 the core subunit of PROTEIN2 ,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d37.s0_57,no,0, PROTEIN dimers formed through self-association of the TATA-binding polypeptide ( PROTEIN1 subunit and could be immunoprecipitated with antibodies to PROTEIN the core subunit of PROTEIN2 ,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d41.s0_58,yes,1,"We report here that PLZF, and a structurally similar transcriptional repressor, PROTEIN1 can interact with a variety of corepressor proteins in addition to SMRT, including the mSin3A protein and (for PLZF) PROTEIN2 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
HPRD50.d42.s0_59,no,0,"Herein, we show that a distinct IkappaB protein PROTEIN1 also interacts with RXR, as shown in the yeast two-hybrid tests and PROTEIN2 pull-down assays",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d42.s1_60,no,0,In contrast to PROTEIN1 PROTEIN2 did not interact with the AF2 domain of RXR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPRD50.d42.s2_61,yes,1," PROTEIN1 specifically interacted with the general transcription factors PROTEIN2 TBP, and PROTEIN but not with TFIIEalpha in the PROTEIN pull-down assays",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d42.s2_62,yes,1," PROTEIN1 specifically interacted with the general transcription factors PROTEIN TBP, and PROTEIN2 but not with TFIIEalpha in the PROTEIN pull-down assays",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d42.s2_63,no,0," PROTEIN1 specifically interacted with the general transcription factors PROTEIN TBP, and PROTEIN but not with TFIIEalpha in the PROTEIN2 pull-down assays",1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
HPRD50.d42.s2_64,no,0," PROTEIN specifically interacted with the general transcription factors PROTEIN1 TBP, and PROTEIN2 but not with TFIIEalpha in the PROTEIN pull-down assays",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HPRD50.d42.s2_65,no,0," PROTEIN specifically interacted with the general transcription factors PROTEIN1 TBP, and PROTEIN but not with TFIIEalpha in the PROTEIN2 pull-down assays",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
HPRD50.d42.s2_66,no,0," PROTEIN specifically interacted with the general transcription factors PROTEIN TBP, and PROTEIN1 but not with TFIIEalpha in the PROTEIN2 pull-down assays",0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
HPRD50.d42.s3_67,no,0,"TBP and PROTEIN1 however, were not able to interact with PROTEIN2 ",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
