,EMO01,EMO01_Role01,EMO01_Role02,EMO02_Few_shot01,EMO02_Role01,Role01,Role02,y
HPRD50.d16.s0_67,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,3.75832,-0.14022,1
HPRD50.d16.s0_68,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,3.75832,-0.14022,0
HPRD50.d16.s0_69,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,3.75832,-0.14022,1
HPRD50.d16.s1_70,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_71,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_72,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_73,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_74,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_75,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_76,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_77,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_78,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_79,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_80,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_81,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_82,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_83,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s1_84,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s2_85,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,3.75832,-0.14022,1
HPRD50.d16.s3_86,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d16.s3_87,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d16.s3_88,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s4_89,3.67696,3.33167,4.65698,-0.254,-0.14022,-0.26608,7.13142,0
HPRD50.d16.s4_90,3.67696,-0.30015,4.65698,3.937,-0.14022,-0.26608,7.13142,1
HPRD50.d16.s4_91,3.67696,-0.30015,4.65698,-0.254,-0.14022,-0.26608,7.13142,1
HPRD50.d16.s5_100,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d16.s5_101,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d16.s5_92,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d16.s5_93,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d16.s5_94,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d16.s5_95,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s5_96,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s5_97,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,3.75832,-0.14022,0
HPRD50.d16.s5_98,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d16.s5_99,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s6_102,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s6_103,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s6_104,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d16.s6_105,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s6_106,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d16.s6_107,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d18.s0_108,3.67696,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d18.s0_109,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d18.s0_110,-0.27196,3.33167,-0.21473,-0.254,7.13142,-0.26608,-0.14022,1
HPRD50.d18.s1_111,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d18.s1_112,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d18.s1_113,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d18.s2_114,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d18.s3_115,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d18.s4_116,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d18.s4_117,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d18.s4_118,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d19.s0_119,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d19.s0_120,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d19.s0_121,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d19.s0_122,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d19.s0_123,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d19.s0_124,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d19.s1_125,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d19.s1_126,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d19.s1_127,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d19.s2_128,3.67696,3.33167,-0.21473,-0.254,-0.14022,3.75832,-0.14022,1
HPRD50.d19.s2_129,-0.27196,3.33167,4.65698,-0.254,-0.14022,3.75832,-0.14022,0
HPRD50.d19.s2_130,3.67696,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d19.s2_131,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d19.s2_132,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d19.s2_133,-0.27196,-0.30015,4.65698,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d2.s0_10,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d2.s0_11,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d2.s0_9,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d2.s1_12,3.67696,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d2.s2_13,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d2.s3_14,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d2.s3_15,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d2.s3_16,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d20.s0_134,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d20.s0_135,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d20.s0_136,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d20.s1_137,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d20.s2_138,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d20.s2_139,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d20.s2_140,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d20.s3_141,3.67696,3.33167,-0.21473,-0.254,-0.14022,3.75832,-0.14022,0
HPRD50.d20.s3_142,3.67696,3.33167,4.65698,-0.254,7.13142,3.75832,-0.14022,1
HPRD50.d20.s3_143,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d21.s0_144,-0.27196,-0.30015,4.65698,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d21.s0_145,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d21.s0_146,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d21.s1_147,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d21.s1_148,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d21.s1_149,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d21.s2_150,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s0_151,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s0_152,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s0_153,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s0_154,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s0_155,-0.27196,-0.30015,4.65698,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s0_156,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s1_157,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s1_158,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s1_159,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s1_160,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s1_161,-0.27196,3.33167,-0.21473,-0.254,7.13142,-0.26608,-0.14022,0
HPRD50.d22.s1_162,-0.27196,3.33167,-0.21473,-0.254,7.13142,-0.26608,-0.14022,0
HPRD50.d22.s1_163,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s1_164,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s1_165,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s1_166,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s2_167,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s3_168,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s3_169,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s3_170,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s3_171,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s3_172,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s3_173,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s4_174,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s5_175,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s5_176,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s5_177,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s6_178,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d22.s6_179,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s6_180,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s7_181,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s7_182,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d22.s7_183,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s0_184,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d23.s1_185,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_186,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_187,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_188,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_189,-0.27196,3.33167,-0.21473,3.937,-0.14022,-0.26608,-0.14022,1
HPRD50.d23.s1_190,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_191,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_192,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,1
HPRD50.d23.s1_193,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_194,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,1
HPRD50.d23.s1_195,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_196,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_197,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_198,-0.27196,-0.30015,-0.21473,3.937,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s1_199,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s2_200,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s2_201,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s2_202,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s2_203,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s2_204,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s2_205,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d23.s3_206,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d24.s0_207,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d24.s1_208,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d24.s1_209,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d24.s1_210,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d24.s1_211,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d24.s1_212,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d24.s1_213,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d25.s0_214,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d25.s0_215,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d25.s0_216,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d25.s1_217,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d25.s1_218,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d25.s1_219,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d25.s2_220,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d25.s2_221,3.67696,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d25.s2_222,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s0_223,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s1_224,3.67696,3.33167,4.65698,-0.254,-0.14022,3.75832,7.13142,1
HPRD50.d26.s1_225,-0.27196,-0.30015,4.65698,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s1_226,3.67696,3.33167,4.65698,-0.254,-0.14022,3.75832,7.13142,1
HPRD50.d26.s2_227,3.67696,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s2_228,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s2_229,3.67696,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s2_230,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s2_231,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s2_232,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s3_233,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s3_234,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s3_235,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,3.75832,-0.14022,0
HPRD50.d26.s4_236,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s5_237,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s5_238,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s5_239,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s6_240,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s6_241,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s6_242,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s6_243,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s6_244,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s6_245,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s7_246,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s7_247,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s7_248,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s7_249,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s7_250,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d26.s7_251,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s7_252,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s7_253,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s7_254,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d26.s7_255,-0.27196,3.33167,-0.21473,-0.254,7.13142,-0.26608,-0.14022,1
HPRD50.d27.s0_256,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d27.s0_257,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d27.s0_258,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d27.s0_259,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d27.s0_260,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d27.s0_261,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d27.s1_262,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d29.s0_263,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d29.s1_264,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d29.s1_265,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,3.75832,-0.14022,0
HPRD50.d29.s1_266,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d29.s1_267,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d29.s1_268,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d29.s1_269,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d29.s1_270,-0.27196,3.33167,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d29.s1_271,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d29.s1_272,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d29.s1_273,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d29.s2_274,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
HPRD50.d29.s2_275,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,1
HPRD50.d29.s2_276,-0.27196,-0.30015,-0.21473,-0.254,-0.14022,-0.26608,-0.14022,0
