,EMO01,EMO01_Few_shot01,EMO01_Few_shot02,EMO01_Role01,EMO01_Role02,EMO02,EMO02_Few_shot01,EMO02_Few_shot02,EMO02_Role01,EMO02_Role02,Few_shot01,Few_shot02,Role01,Role01_Few_shot01,Role01_Few_shot02,Role02,Role02_Few_shot01,Role02_Few_shot02,y
HPRD50.d28.s2_34,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d28.s2_35,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d28.s2_36,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d28.s3_37,-0.27196,0.0,0.0,3.33167,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,3.75832,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d28.s3_38,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,3.75832,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d28.s3_39,-0.27196,0.0,0.0,3.33167,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,3.75832,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d36.s0_40,3.67696,0.0,0.0,-0.30015,4.65698,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,3.75832,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d36.s1_41,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d36.s1_42,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d36.s1_43,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d36.s2_44,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d36.s2_45,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,3.75832,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d36.s2_46,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d36.s3_47,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d36.s4_48,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d36.s4_49,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d36.s4_50,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d36.s5_51,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d37.s0_52,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d37.s0_53,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d37.s0_54,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d37.s0_55,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d37.s0_56,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d37.s0_57,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d41.s0_58,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d42.s0_59,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d42.s1_60,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d42.s2_61,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d42.s2_62,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
HPRD50.d42.s2_63,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d42.s2_64,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d42.s2_65,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d42.s2_66,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d42.s3_67,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d42.s4_68,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d42.s5_69,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d6.s0_0,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d6.s1_1,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d6.s2_2,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d6.s2_3,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d6.s2_4,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d6.s3_5,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d6.s3_6,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d6.s3_7,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,0
HPRD50.d6.s4_8,-0.27196,0.0,0.0,-0.30015,-0.21473,0.0,-0.254,0.0,-0.14022,-0.09129,0.0,0.0,-0.26608,0.0,0.0,-0.14022,0.0,0.0,1
